Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Autorizada de Produção de Biometano (m³/d),Capacidade Processamento de Biogás(m³/d),Volume Processado de Biogás (m³/d),Volume Processado/Capacidade (%) 
09/2025,ADECOAGRO VALE DO IVINHEMA S.A.,07903169001768,CENTRO OESTE,Mato Grosso do Sul,IVINHEMA,"8000,00",12000,"15,000",0
09/2025,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"375886,000",78
09/2025,GEO ELÉTRICA TAMBOARA BIOENERGIA LTDA,12415018000214,SUL,Paraná,TAMBOARA,"31200,00",84000,"0,000",0
09/2025,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"22,000",0
09/2025,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"18480,00",36000,"31055,000",86
09/2025,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,"30000,00",84000,"36101,000",43
09/2025,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"107236,000",36
09/2025,SPE CENTRAL DE TRATAMENTO INTEGRADO RESÍDUO ZERO LTDA,35536099000125,SUL,Rio Grande do Sul,TRIUNFO,"36000,00",60000,"19,000",0
09/2025,CRI GEO BIOGAS S.A.,38615333000106,SUDESTE,São Paulo,ELIAS FAUSTO,"23694,00",60629,"3180,000",5
09/2025,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"18078,000",30
09/2025,RAÍZEN-GEO BIOGÁS COSTA PINTO LTDA.,45281972000130,SUDESTE,São Paulo,PIRACICABA,"130368,00",230016,"105,000",0
09/2025,ZEG BIOGÁS AROEIRA SPE LTDA.,46569957000154,SUDESTE,Minas Gerais,TUPACIGUARA,"16912,00",30626,"3934,000",13
09/2025,BIOMETANO SUL S.A.,47360931000164,SUL,Rio Grande do Sul,MINAS DO LEAO,"64848,00",132000,"0,000",0
09/2025,ESSENCIS BIOMETANO S.A.,48119972000126,SUDESTE,São Paulo,CAIEIRAS,"67200,00",139680,"66780,000",48
09/2025,ORIZON BIOMETANO JABOATÃO DOS GUARARAPES LIMITADA,49909303000110,NORDESTE,Pernambuco,JABOATAO DOS GUARARAPES,"108931,00",240000,"0,000",0
09/2025,BIOENERGIA SANTA CRUZ LTDA.,51447607000155,SUDESTE,São Paulo,AMERICO BRASILIENSE,"82575,00",152440,"37,000",0
08/2025,ADECOAGRO VALE DO IVINHEMA S.A.,07903169001768,CENTRO OESTE,Mato Grosso do Sul,IVINHEMA,"8000,00",12000,"17,000",0
08/2025,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"378566,000",79
08/2025,GEO ELÉTRICA TAMBOARA BIOENERGIA LTDA,12415018000214,SUL,Paraná,TAMBOARA,"31200,00",84000,"0,000",0
08/2025,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"24,000",0
08/2025,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"18480,00",36000,"29478,000",82
08/2025,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,"30000,00",84000,"26187,000",31
08/2025,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"110665,000",37
08/2025,SPE CENTRAL DE TRATAMENTO INTEGRADO RESÍDUO ZERO LTDA,35536099000125,SUL,Rio Grande do Sul,TRIUNFO,"36000,00",60000,"0,000",0
08/2025,CRI GEO BIOGAS S.A.,38615333000106,SUDESTE,São Paulo,ELIAS FAUSTO,"23694,00",60629,"4648,000",8
08/2025,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"19251,000",32
08/2025,RAÍZEN-GEO BIOGÁS COSTA PINTO LTDA.,45281972000130,SUDESTE,São Paulo,PIRACICABA,"130368,00",230016,"128,000",0
08/2025,ZEG BIOGÁS AROEIRA SPE LTDA.,46569957000154,SUDESTE,Minas Gerais,TUPACIGUARA,"16912,00",30626,"3649,000",12
08/2025,BIOMETANO SUL S.A.,47360931000164,SUL,Rio Grande do Sul,MINAS DO LEAO,"64848,00",132000,"0,000",0
08/2025,ESSENCIS BIOMETANO S.A.,48119972000126,SUDESTE,São Paulo,CAIEIRAS,"67200,00",139680,"63899,000",46
08/2025,ORIZON BIOMETANO JABOATÃO DOS GUARARAPES LIMITADA,49909303000110,NORDESTE,Pernambuco,JABOATAO DOS GUARARAPES,"108931,00",240000,"0,000",0
07/2025,ADECOAGRO VALE DO IVINHEMA S.A.,07903169001768,CENTRO OESTE,Mato Grosso do Sul,IVINHEMA,"8000,00",12000,"12892,000",107
07/2025,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"362049,000",75
07/2025,GEO ELÉTRICA TAMBOARA BIOENERGIA LTDA,12415018000214,SUL,Paraná,TAMBOARA,"31200,00",84000,"0,000",0
07/2025,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"25,000",0
07/2025,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"18480,00",36000,"29910,000",83
07/2025,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,"30000,00",84000,"24942,000",30
07/2025,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"116991,000",39
07/2025,SPE CENTRAL DE TRATAMENTO INTEGRADO RESÍDUO ZERO LTDA,35536099000125,SUL,Rio Grande do Sul,TRIUNFO,"36000,00",60000,"0,000",0
07/2025,CRI GEO BIOGAS S.A.,38615333000106,SUDESTE,São Paulo,ELIAS FAUSTO,"23694,00",60629,"4080,000",7
07/2025,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"10886,000",18
07/2025,RAÍZEN-GEO BIOGÁS COSTA PINTO LTDA.,45281972000130,SUDESTE,São Paulo,PIRACICABA,"130368,00",230016,"134,000",0
07/2025,ZEG BIOGÁS AROEIRA SPE LTDA.,46569957000154,SUDESTE,Minas Gerais,TUPACIGUARA,"16912,00",30626,"2196,000",7
07/2025,ESSENCIS BIOMETANO S.A.,48119972000126,SUDESTE,São Paulo,CAIEIRAS,"67200,00",139680,"61360,000",44
07/2025,ORIZON BIOMETANO JABOATÃO DOS GUARARAPES LIMITADA,49909303000110,NORDESTE,Pernambuco,JABOATAO DOS GUARARAPES,"108931,00",240000,"0,000",0
06/2025,ADECOAGRO VALE DO IVINHEMA S.A.,07903169001768,CENTRO OESTE,Mato Grosso do Sul,IVINHEMA,"8000,00",12000,"13322,000",111
06/2025,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"477851,000",100
06/2025,GEO ELÉTRICA TAMBOARA BIOENERGIA LTDA,12415018000214,SUL,Paraná,TAMBOARA,"31200,00",84000,"0,000",0
06/2025,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"24,000",0
06/2025,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"18480,00",36000,"15587,000",43
06/2025,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,"30000,00",84000,"22476,000",27
06/2025,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"119401,000",40
06/2025,CRI GEO BIOGAS S.A.,38615333000106,SUDESTE,São Paulo,ELIAS FAUSTO,"23694,00",60629,"6477,000",11
06/2025,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"12418,000",21
06/2025,RAÍZEN-GEO BIOGÁS COSTA PINTO LTDA.,45281972000130,SUDESTE,São Paulo,PIRACICABA,"130368,00",230016,"98,000",0
06/2025,ZEG BIOGÁS AROEIRA SPE LTDA.,46569957000154,SUDESTE,Minas Gerais,TUPACIGUARA,"16912,00",30626,"0,000",0
06/2025,ESSENCIS BIOMETANO S.A.,48119972000126,SUDESTE,São Paulo,CAIEIRAS,"67200,00",139680,"63043,000",45
05/2025,ADECOAGRO VALE DO IVINHEMA S.A.,07903169001768,CENTRO OESTE,Mato Grosso do Sul,IVINHEMA,"8000,00",12000,"12892,000",107
05/2025,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
05/2025,GEO ELÉTRICA TAMBOARA BIOENERGIA LTDA,12415018000214,SUL,Paraná,TAMBOARA,"31200,00",84000,"6157,000",7
05/2025,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"17,000",0
05/2025,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"18480,00",36000,"26796,000",74
05/2025,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,"30000,00",84000,"28641,000",34
05/2025,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"124337,000",41
05/2025,CRI GEO BIOGAS S.A.,38615333000106,SUDESTE,São Paulo,ELIAS FAUSTO,"23694,00",60629,"1029,000",2
05/2025,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"10762,000",18
05/2025,RAÍZEN-GEO BIOGÁS COSTA PINTO LTDA.,45281972000130,SUDESTE,São Paulo,PIRACICABA,"130368,00",230016,"84672,000",37
05/2025,ZEG BIOGÁS AROEIRA SPE LTDA.,46569957000154,SUDESTE,Minas Gerais,TUPACIGUARA,"16912,00",30626,"173,000",1
05/2025,ESSENCIS BIOMETANO S.A.,48119972000126,SUDESTE,São Paulo,CAIEIRAS,"67200,00",139680,"64973,000",47
04/2025,ADECOAGRO VALE DO IVINHEMA S.A.,07903169001768,CENTRO OESTE,Mato Grosso do Sul,IVINHEMA,"8000,00",12000,"4605,000",38
04/2025,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"384000,000",80
04/2025,GEO ELÉTRICA TAMBOARA BIOENERGIA LTDA,12415018000214,SUL,Paraná,TAMBOARA,"31200,00",84000,"632,000",1
04/2025,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"19,000",0
04/2025,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,"18480,00",36000,"27160,000",75
04/2025,ENGEP AMBIENTAL LTDA,17354555000215,SUDESTE,São Paulo,JAMBEIRO,"30000,00",84000,"31378,000",37
04/2025,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,"110000,00",300000,"128379,000",43
04/2025,CRI GEO BIOGAS S.A.,38615333000106,SUDESTE,São Paulo,ELIAS FAUSTO,"23694,00",60629,"0,000",0
04/2025,METAGÁS BIOGÁS E ENERGIA S.A,43943079000105,SUDESTE,São Paulo,SAO PAULO,"30000,00",60000,"6987,000",12
04/2025,RAÍZEN-GEO BIOGÁS COSTA PINTO LTDA.,45281972000130,SUDESTE,São Paulo,PIRACICABA,"130368,00",230016,"18508,000",8
04/2025,ZEG BIOGÁS AROEIRA SPE LTDA.,46569957000154,SUDESTE,Minas Gerais,TUPACIGUARA,"16912,00",30626,"24,000",0
04/2025,ESSENCIS BIOMETANO S.A.,48119972000126,SUDESTE,São Paulo,CAIEIRAS,"67200,00",139680,"59521,000",43
03/2025,ADECOAGRO VALE DO IVINHEMA S.A.,07903169001768,CENTRO OESTE,Mato Grosso do Sul,IVINHEMA,"8000,00",12000,"8189,000",68
03/2025,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,"204000,00",480000,"359781,000",75
03/2025,GEO ELÉTRICA TAMBOARA BIOENERGIA LTDA,12415018000214,SUL,Paraná,TAMBOARA,"31200,00",84000,"6780,000",8
03/2025,COCAL ENERGIA S.A.,14788495000170,SUDESTE,São Paulo,NARANDIBA,"27112,00",51600,"26,000",0
